Movie_Name,Director,Year,Jump_Count,Jump_Scare_Rating,On_Netflix_US,IMDB_Rating
The Ring Two,Hideo Nakata,2005,11,3,No,5.4
The Skeleton Key,Iain Softley,2005,11,3,No,6.5
The Uninvited,Charles & Thomas Guard,2009,11,3,Yes,6.4
You're Next,Adam Wingard,2011,11,3,No,6.5
A Nightmare on Elm Street,Wes Craven,1984,11,2.5,No,7.5
A Nightmare on Elm Street 3: Dream Warriors,Chuck Russell,1987,11,2.5,No,6.5
Alien,Ridley Scott,1979,11,2.5,No,8.5
An American Werewolf in Paris,Anthony Waller,1997,11,2.5,No,5.1
Better Watch Out,Chris Peckover,2016,11,2.5,No,6.9
Dark Skies,Scott Stewart,2013,11,2.5,No,6.3
Identity,James Mangold,2003,11,2.5,No,7.3
Lake Placid,Steve Miner,1999,11,2.5,No,5.6
My Bloody Valentine,George Mihalka,1981,11,2.5,No,6.2
The Exorcist III,William Peter Blatty,1990,11,2.5,No,6.3
The New Daughter,Luiso Berdejo,2009,11,2.5,No,5.3
Us,Jordan Peele,2019,11,2.5,No,7.4
Wes Craven's New Nightmare,Wes Craven,1994,11,2.5,No,6.4
Bride of Chucky,Ronny Yu,1998,11,2,No,5.3
Wish Upon,John R. Leonetti,2017,11,2,No,4.8
Paranormal Activity,Oren Peli,2007,10,3.5,No,6.3
Visions,Kevin Greutert,2015,10,3.5,No,5.4
28 Days Later,Danny Boyle,2003,10,3,No,7.6
Apollo 18,Gonzalo López-Gallego,2011,10,3,No,5.2
Black Swan,Darren Aronofsky,2010,10,3,No,8
Creep,Patrick Kack-Brice,2014,10,3,Yes,6.2
Day of the Dead,George A. Romero,1985,10,3,No,7.2
Friday the 13th,Sean S. Cunningham,1980,10,3,No,6.5
Fright Night,Craig Gillespie,2011,10,3,No,6.4
Idle Hands,Rodman Flender,1999,10,3,No,6.2
In The Mouth Of Madness,John Carpenter,1994,10,3,No,7.2
Odd Thomas,Stephen Sommers,2013,10,3,No,6.9
Restoration,Zack Ward,2016,10,3,No,4
Slither,James Gunn,2006,10,3,No,6.5
Splinter,Toby Wilkins,2008,10,3,No,6.1
The Possession,Ole Bornedal,2012,10,3,No,5.9
Veronica,Paco Plaza,2017,10,3,Yes,6.5
Cabin Fever,Eli Roth,2002,10,2.5,No,5.6
Deep Blue Sea,Renny Harlin,1999,10,2.5,No,5.8
Devil's Pass,Renny Harlin,2013,10,2.5,No,5.7
Get Out,Jordan Peele,2017,10,2.5,No,7.8
Goosebumps,Rob Letterman,2015,10,2.5,No,6.4
The Howling,Joe Dante,1981,10,2.5,No,6.6
Velvet Buzzsaw,Dan Gilroy,2019,10,2.5,No,6.1
Dawn of the Dead,Zack Synder,2004,10,2,No,7.4
Krampus,Michael Dougherty,2015,10,2,No,6.2
Secret Window,David Koepp,2004,10,2,No,6.6
The Exorcist,William Friedkin,1973,10,1.5,No,8
Under the Shadow,Babak Anvari,2016,9,3.5,Yes,7
Alien: Resurrection,Jean-Pierre Jeunet,1997,9,3,No,6.3
Before I Wake,Mike Flanagan,2016,9,3,Yes,6.1
Halloween,Rob Zombie,2007,9,3,No,6.1
Stir of Echoes,David Koepp,1999,9,3,No,7
Zombieland,Ruben Fleischer,2009,9,3,No,7.7
30 Days of Night,David Slade,2007,9,2.5,No,6.6
Crimson Peak,Guillermo del Toro,2015,9,2.5,No,6.6
Dead End,"Jean-Baptiste Andrea, Fabrice Canepa",2003,9,2.5,No,6.7
Hollow Man,Paul Verhoeven,2000,9,2.5,No,5.7
I Am Legend,Francis Lawrence,2007,9,2.5,No,7.2
Incarnate,Brad Peyton,2016,9,2.5,No,5.1
Jurassic Park,Steven Spielberg,1993,9,2.5,No,8.1
The Disappointments Room,D.J. Caruso,2016,9,2.5,Yes,3.9
The Hills Have Eyes,Alexandre Aja,2006,9,2.5,No,6.4
The Purge: Election Year,James DeMonaco,2016,9,2.5,No,6
The Ring,Gore Verbinski,2002,9,2.5,No,7.1
The Shallows,Jaume Collet-Serra,2016,9,2.5,No,6.3
Anaconda,Luis Llosa,1997,9,2,No,4.6
Army of Darkness,Sam Raimi,1992,9,2,No,7.6
Case 39,Christian Alvart,2009,9,2,No,6.2
Jessabelle,Kevin Greutert,2014,9,2,No,5.4
Shutter Island,Martin Scorsese,2010,9,2,No,8.1
Starry Eyes,"Kevin Kolsch, Dennis Widmyer",2014,9,2,No,6
The Innkeepers,Ti West,2011,9,2,No,5.5
The Snowman,Tomas Alfredson,2017,9,2,No,5.1
Tucker and Dale vs. Evil,Eli Craig,2010,9,1.5,No,7.6
Poltergeist,Tobe Hooper,1982,9,1,Yes,7.4
1408,Mikael Håfström,2007,8,3,No,6.8
Children of the Corn,Fritz Kiersch,1984,8,3,No,5.6
Don't Be Afraid of the Dark,Troy Nixey,2010,8,3,No,5.6
Malevolent,Olaf de Fleur Johannesson,2018,8,3,Yes,4.8
The Cloverfield Paradox,Julius Onah,2018,8,3,Yes,6.2
The Town That Dreaded Sundown,Alfonso Gomez-Rejon,2014,8,3,No,5.6
10 Cloverfield Lane,Dan Trachtenberg,2016,8,2.5,No,7.3
31,Rob Zombie,2016,8,2.5,No,5.8
Child's Play,Tom Holland,1988,8,2.5,No,6.5
Happy Death Day,Christopher Landon,2017,8,2.5,No,6.7
High Tension,Alexandre Aja,2003,8,2.5,No,6.9
Inland Empire,David Lynch,2006,8,2.5,No,7
The Amityville Horror,Stuart Rosenberg,1979,8,2.5,No,6.2
The Babysitter,McG,2017,8,2.5,Yes,6.6
The Bay,Barry Levinson,2012,8,2.5,No,5.6
The Belko Experiment,Greg McLean,2016,8,2.5,No,6.2
The Call,Brad Anderson,2013,8,2.5,No,6.7
The Devil Inside,William Brent Bell,2012,8,2.5,No,4.1
The Exorcism of Emily Rose,Scott Derrickson,2005,8,2.5,No,6.7
The First Purge,Gerard McMurray,2018,8,2.5,No,5.2
The Visit,M. Night Shyamalan,2015,8,2.5,No,6.2
A Nightmare on Elm Street 2: Freddy's Revenge,Jack Sholder,1985,8,2,No,5.3
Absentia,Mike Flanagan,2011,8,2,No,5.8
Halloween II,Rick Rosenthal,1981,8,2,No,6.5
Hereditary,Ari Aster,2018,8,2,No,8.1
Life,Daniel Espinosa,2017,8,2,No,6.8
Signs,M. Night Shyamalan,2002,8,2,No,6.7
The Devil's Candy,Sean Byrne,2015,8,2,Yes,6.7
The Void,"Jeremy Gillespie, Steven Kostanski",2016,8,2,Yes,5.8
Tragedy Girls,Tyler Macintyre,2017,8,2,No,6.1
Scary Movie,Keenen Ivory Wayans,2000,8,1.5,No,6.2
Scary Movie 2,Keenen Ivory Wayans,2001,8,1.5,Yes,5.3
The Final Girls,Todd Strauss-Schulson,2015,8,1.5,No,6.7
The House with a Clock in Its Walls,Eli Roth,2018,8,1.5,No,6.2
The Sixth Sense,M. Night Shyamalan,1999,8,1.5,Yes,8.2
V/H/S,Various Directors,2012,7,3.5,No,5.8
"As Above, So Below",John Erick Dowdle,2014,7,3,Yes,6.1
Let Us Prey,Brian O’Malley,2014,7,3,No,5.6
Species,Roger Donaldson,1995,7,3,No,5.8
The Forgotten,Joseph Ruben,2004,7,3,No,5.8
Hush,Mike Flanagan,2016,7,2.5,Yes,6.6
Prince of Darkness,John Carpenter,1987,7,2.5,No,6.7
Repulsion,Roman Polanski,1965,7,2.5,No,7.8
Resident Evil,Paul W.S. Anderson,2002,7,2.5,No,6.7
The Endless,"Justin Benson, Aaron Moorhead",2017,7,2.5,No,6.6
The Thing,Matthijs van Heijningen Jr.,2011,7,2.5,No,6.2
World War Z,Marc Forster,2013,7,2.5,No,7
Cloverfield,Matt Reeves,2008,7,2,No,7
Dark Water,Walter Salles,2005,7,2,No,5.5
Deathgasm,Jason Lei Howden,2015,7,2,No,6.3
Elle,Paul Verhoeven,2016,7,2,No,7.3
Flatliners,Joel Schumacher,1990,7,2,Yes,6.6
Happy Death Day 2U,Christopher Landon,2019,7,2,No,6.5
Jigsaw,"Michael Spierig, Peter Spierig",2017,7,2,No,6.3
Julia's Eyes,Guillem Morales,2010,7,2,No,6.6
Jurassic World: Fallen Kingdom,J.A. Bayona,2018,7,2,No,6.5
Mother!,Darren Aronofsky,2017,7,2,No,7
Predator,John McTiernan,1987,7,2,No,7.8
Pride and Prejudice and Zombies,Burr Steers,2016,7,2,No,5.8
The Changeling,Peter Medak,1980,7,2,No,7.3
